Rentrée scolaire;Académie;Code du département;Département;UAI;Nom de l'établissment;Code INSEE de la commune;Nom de la commune;Secteur;IPS;Ecart-type de l'IPS
2020-2021;RENNES;029;FINISTERE;0290347V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LOUISE MICHEL;29232;QUIMPER;public;68.9;19.0
2020-2021;BORDEAUX;033;GIRONDE;0331739L;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DE LA PLAINE;33162;EYSINES;public;90.2;36.1
2020-2021;ORLEANS-TOURS;036;INDRE;0360050J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;36044;CHATEAUROUX;public;66.1;22.0
2020-2021;LYON;042;LOIRE;0421608V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE NELSON MANDELA;42302;SORBIERS;public;64.6;21.2
2020-2021;CLERMONT-FERRAND;043;HAUTE-LOIRE;0430109K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ALEXANDRE VIALATTE;43040;BRIOUDE;public;66.7;23.8
2020-2021;NANTES;044;LOIRE-ATLANTIQUE;0440329U;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LA RIVIERE;44109;NANTES;public;76.0;26.7
2020-2021;CAEN;050;MANCHE;0501232T;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ROBERT DOISNEAU;50502;SAINT LO;public;73.1;22.1
2020-2021;REIMS;051;MARNE;0511106A;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE BOURNEVILLE;51108;CHALONS EN CHAMPAGNE;public;70.3;21.0
2020-2021;RENNES;056;MORBIHAN;0560217G;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LES PINS;56162;PLOEMEUR;public;71.5;20.7
2020-2021;AMIENS;060;OISE;0600070A;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JOSEPHINE BAKER A CREVECOEUR LE GRAND;60178;CREVECOEUR LE GRAND;public;66.9;15.8
2020-2021;LILLE;062;PAS-DE-CALAIS;0622099V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE COTE D OPALE;62193;CALAIS;public;59.0;19.3
2020-2021;LILLE;062;PAS-DE-CALAIS;0622302R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MICHEL COLUCCI;62510;LIEVIN;public;61.3;17.4
2020-2021;NANTES;072;SARTHE;0720920J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE RAPHAEL ELIZE;72058;CHANGE;public;66.1;17.4
2020-2021;PARIS;075;PARIS;0752799K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE CROCE SPINELLI;75114;PARIS 14E ARRONDISSEMENT;public;77.5;27.7
2020-2021;ROUEN;076;SEINE MARITIME;0762081Z;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MAURICE GENEVOIX;76351;LE HAVRE;public;68.1;21.0
2020-2021;POITIERS;079;DEUX-SEVRES;0790979K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOISE DOLTO;79239;SAINT AUBIN LE CLOUD;public;70.6;20.5
2020-2021;VERSAILLES;092;HAUTS-DE-SEINE;0921935D;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE TOULOUSE LAUTREC;92076;VAUCRESSON;public;119.9;37.7
2020-2021;MAYOTTE;976;MAYOTTE;9760357J;EREA L ESPERANCE;97611;MAMOUDZOU;privé sous contrat;56.9;15.9
2019-2020;LYON;001;AIN;0010966V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE PHILIBERT COMMERSON;01053;BOURG EN BRESSE;public;74.4;25.1
2019-2020;POITIERS;017;CHARENTE-MARITIME;0170392J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE THEODORE MONOD;17415;SAINTES;public;66.2;20.5
2019-2020;BESANCON;025;DOUBS;0251371E;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE SIMONE VEIL;25056;BESANCON;public;69.4;24.6
2019-2020;RENNES;029;FINISTERE;0290347V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LOUISE MICHEL;29232;QUIMPER;public;71.1;22.2
2019-2020;RENNES;035;ILLE-ET-VILAINE;0350747X;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MAGDA HOLLANDER LAFON;35238;RENNES;public;65.1;18.5
2019-2020;BORDEAUX;040;LANDES;0400094K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE NICOLAS BREMONTIER;40281;SAINT PIERRE DU MONT;public;79.8;27.2
2019-2020;CLERMONT-FERRAND;043;HAUTE-LOIRE;0430109K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ALEXANDRE VIALATTE;43040;BRIOUDE;public;64.1;21.9
2019-2020;CAEN;050;MANCHE;0501232T;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;50502;SAINT LO;public;70.6;21.1
2019-2020;LILLE;059;NORD;0594541R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DEFICIENTS VISUELS IGNACE PLEYEL;59360;LOOS;public;86.0;38.6
2019-2020;LILLE;062;PAS-DE-CALAIS;0622302R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MICHEL COLUCCI;62510;LIEVIN;public;62.5;20.4
2019-2020;DIJON;071;SAONE-ET-LOIRE;0711050F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE CLAUDE BROSSE;71105;CHARNAY LES MACON;public;70.2;24.2
2019-2020;PARIS;075;PARIS;0750828T;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE EDITH PIAF;75120;PARIS 20E ARRONDISSEMENT;public;69.0;21.9
2019-2020;PARIS;075;PARIS;0753256G;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ALEXANDRE DUMAS;75115;PARIS 15E ARRONDISSEMENT;public;72.5;22.1
2019-2020;POITIERS;079;DEUX-SEVRES;0790979K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOISE DOLTO;79239;SAINT AUBIN LE CLOUD;public;70.0;21.9
2019-2020;VERSAILLES;091;ESSONNE;0910429X;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LE CHATEAU DU LAC;91461;OLLAINVILLE;public;77.8;26.0
2019-2020;CORSE;02A;CORSE-DU-SUD;6200636X;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE AJACCIO;2A004;AJACCIO;public;77.5;26.0
2019-2020;AMIENS;002;AISNE;0021478W;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;02691;SAINT QUENTIN;public;60.2;17.8
2019-2020;CLERMONT-FERRAND;015;CANTAL;0150613K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ALBERT MONIER;15014;AURILLAC;public;79.1;28.0
2019-2020;DIJON;021;COTE D'OR;0211428N;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;21054;BEAUNE;public;75.8;24.1
2019-2020;BORDEAUX;033;GIRONDE;0332198K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LE CORBUSIER;33318;PESSAC;public;82.7;31.4
2019-2020;BESANCON;039;JURA;0390055Y;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LA MORAINE;39183;CROTENAY;public;69.2;21.4
2019-2020;NANTES;044;LOIRE-ATLANTIQUE;0440329U;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LA RIVIERE;44109;NANTES;public;74.5;25.9
2019-2020;BORDEAUX;047;LOT-ET-GARONNE;0470753N;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MARIE CLAUDE RICHE;47323;VILLENEUVE SUR LOT;public;70.8;26.9
2019-2020;NANTES;049;MAINE-ET-LOIRE;0490925P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;49267;SAINT BARTHELEMY D ANJOU;public;74.1;24.1
2019-2020;REIMS;052;HAUTE-MARNE;0520709N;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE PRE AUX SAULES;52550;WASSY;public;65.4;17.5
2019-2020;NANCY-METZ;054;MEURTHE-ET-MOSELLE;0541338L;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE HUBERT MARTIN;54099;VAL DE BRIEY;public;67.1;20.8
2019-2020;DIJON;089;YONNE;0891016W;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JULES VERNE;89206;JOIGNY;public;70.2;21.6
2019-2020;VERSAILLES;091;ESSONNE;0911353B;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN ISOARD;91421;MONTGERON;public;91.1;31.2
2019-2020;VERSAILLES;092;HAUTS-DE-SEINE;0920429S;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE EREA;92004;ASNIERES SUR SEINE;public;77.4;25.5
2019-2020;VERSAILLES;092;HAUTS-DE-SEINE;0921935D;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE TOULOUSE LAUTREC;92076;VAUCRESSON;public;122.1;38.7
2019-2020;CRETEIL;094;VAL-DE-MARNE;0940319L;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE NOGENT SUR MARNE;94052;NOGENT SUR MARNE;public;76.5;28.8
2019-2020;TOULOUSE;009;ARIEGE;0090481Z;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE GUY VILLEROUX;09225;PAMIERS;public;66.8;17.3
2019-2020;TOULOUSE;012;AVEYRON;0121178R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE VILLEFRANCHE DE ROUERGUE;12300;VILLEFRANCHE DE ROUERGUE;public;71.9;21.8
2019-2020;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132343B;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LOUIS ARAGON;13071;LES PENNES MIRABEAU;public;67.9;24.4
2019-2020;CAEN;014;CALVADOS;0141420T;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE YVONNE GUEGAN;14327;HEROUVILLE SAINT CLAIR;public;71.3;21.1
2019-2020;POITIERS;016;CHARENTE;0160968R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;16271;PUYMOYEN;public;72.7;24.4
2019-2020;BORDEAUX;033;GIRONDE;0331739L;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DE LA PLAINE;33162;EYSINES;public;90.2;35.8
2019-2020;MONTPELLIER;034;HERAULT;0340833W;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN JACQUES ROUSSEAU;34172;MONTPELLIER;public;64.3;16.1
2019-2020;NANCY-METZ;054;MEURTHE-ET-MOSELLE;0541268K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOIS RICHARD JOUBERT;54196;FLAVIGNY SUR MOSELLE;public;86.8;31.9
2019-2020;LILLE;059;NORD;0594380R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DEFICIENTS INTELLECTUELS LEGERS HANDICAPES SOCIAUX COLETTE MAGNY;59367;LYS LEZ LANNOY;public;61.6;16.2
2019-2020;LILLE;062;PAS-DE-CALAIS;0620229M;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ANTOINE DE SAINT EXUPERY;62108;BERCK;public;86.7;34.6
2019-2020;MONTPELLIER;066;PYRENEES-ORIENTALES;0660078B;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JOAN MIRO;66136;PERPIGNAN;public;65.0;23.6
2019-2020;LYON;069;RHONE;0692390Y;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE CITE SCOLAIRE RENE PELLET LYCEE DES METIERS DU TERTIAIRE ET DE L ARTISANAT D ART;69266;VILLEURBANNE;public;83.9;32.2
2019-2020;ROUEN;076;SEINE MARITIME;0762211R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOISE DOLTO;76681;SOTTEVILLE LES ROUEN;public;66.5;21.7
2019-2020;CRETEIL;094;VAL-DE-MARNE;0940171A;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE STENDHAL;94011;BONNEUIL SUR MARNE;public;76.5;22.9
2019-2020;VERSAILLES;095;VAL-D'OISE;0950164M;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOISE DOLTO;95052;BEAUMONT SUR OISE;public;82.5;23.0
2019-2020;AIX-MARSEILLE;004;ALPES-DE-HTE-PROVENCE;0040378P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE CASTEL BEVONS;04027;BEVONS;public;74.0;21.1
2019-2020;LIMOGES;019;CORREZE;0190089U;LYCEE D ENSEIGNEMENT ADAPTE ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DES MILLES SOURCES;19136;MEYMAC;public;66.3;12.7
2019-2020;GRENOBLE;026;DROME;0261034H;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;26198;MONTELIMAR;public;73.9;20.3
2019-2020;ORLEANS-TOURS;028;EURE-ET-LOIR;0280659P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;28229;MAINVILLIERS;public;72.4;26.2
2019-2020;TOULOUSE;031;HAUTE-GARONNE;0311240E;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DE MURET;31395;MURET;public;73.8;26.9
2019-2020;ORLEANS-TOURS;045;LOIRET;0451104F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;45004;AMILLY;public;73.3;21.3
2019-2020;REIMS;051;MARNE;0511106A;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE BOURNEVILLE;51108;CHALONS EN CHAMPAGNE;public;68.4;19.7
2019-2020;LILLE;062;PAS-DE-CALAIS;0622099V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE COTE D OPALE;62193;CALAIS;public;61.0;19.0
2019-2020;CLERMONT-FERRAND;063;PUY-DE-DOME;0630665F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DE LATTRE DE TASSIGNY;63307;ROMAGNAT;public;67.9;18.7
2019-2020;GRENOBLE;073;SAVOIE;0730811K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE AMELIE GEX;73065;CHAMBERY;public;78.6;29.2
2019-2020;CRETEIL;077;SEINE-ET-MARNE;0770342D;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DE CHAMIGNY GARCON;77078;CHAMIGNY;public;84.1;34.2
2019-2020;AIX-MARSEILLE;084;VAUCLUSE;0840096Y;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE PAUL VINCENSINI;84141;VEDENE;public;71.6;25.5
2019-2020;VERSAILLES;092;HAUTS-DE-SEINE;0920810F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN MONNET;92033;GARCHES;public;105.5;39.7
2019-2020;VERSAILLES;095;VAL-D'OISE;0950983C;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LA TOUR DU MAIL;95582;SANNOIS;public;83.6;25.8
2019-2020;RENNES;022;COTES D'ARMOR;0221569L;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE BEAUREGARD;22339;TADEN;public;73.4;14.4
2019-2020;BORDEAUX;024;DORDOGNE;0240112S;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JOEL JEANNOT;24557;TRELISSAC;public;72.7;27.7
2019-2020;RENNES;035;ILLE-ET-VILAINE;0350732F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN BART;35236;REDON;public;72.4;21.1
2019-2020;ORLEANS-TOURS;036;INDRE;0360050J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;36044;CHATEAUROUX;public;67.4;23.3
2019-2020;GRENOBLE;038;ISERE;0382107J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE/LEA PIERRE RABHI;38111;CLAIX;public;79.8;28.5
2019-2020;LYON;042;LOIRE;0421608V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE NELSON MANDELA;42302;SORBIERS;public;67.7;22.7
2019-2020;RENNES;056;MORBIHAN;0560217G;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LES PINS;56162;PLOEMEUR;public;70.7;23.7
2019-2020;LILLE;059;NORD;0595483P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DEFICIENTS INTELLECTUELS MOYENS HANDICAPES SOCIAUX NELSON MANDELA;59350;LILLE;public;64.5;18.3
2019-2020;AMIENS;060;OISE;0600070A;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;60178;CREVECOEUR LE GRAND;public;64.9;14.1
2019-2020;CAEN;061;ORNE;0610996B;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE PIERRE MENDES FRANCE;61168;LA FERTE MACE;public;66.0;19.6
2019-2020;STRASBOURG;067;BAS-RHIN;0671455T;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE HENRI EBEL;67218;ILLKIRCH GRAFFENSTADEN;public;67.6;25.2
2019-2020;NANTES;072;SARTHE;0720920J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE RAPHAEL ELIZE;72058;CHANGE;public;64.2;18.0
2019-2020;GRENOBLE;073;SAVOIE;0731045P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LE MIRANTIN;73011;ALBERTVILLE;public;74.7;21.5
2019-2020;PARIS;075;PARIS;0752799K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE CROCE SPINELLI;75114;PARIS 14E ARRONDISSEMENT;public;80.7;29.1
2019-2020;ROUEN;076;SEINE MARITIME;0762081Z;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MAURICE GENEVOIX;76351;LE HAVRE;public;69.7;21.1
2019-2020;NANTES;085;VENDEE;0850047P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN D ORBESTIER;85194;LES SABLES D OLONNE;public;66.8;21.6
2019-2020;POITIERS;086;VIENNE;0860793V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ANNE FRANK;86157;MIGNALOUX BEAUVOIR;public;69.4;21.1
2019-2020;NANCY-METZ;088;VOSGES;0881119N;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOIS GEORGIN;88160;EPINAL;public;59.9;15.7
2019-2020;MAYOTTE;976;MAYOTTE;9760357J;EREA L ESPERANCE;97611;MAMOUDZOU;privé sous contrat;53.1;16.1
2018-2019;TOULOUSE;012;AVEYRON;0121178R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;12300;VILLEFRANCHE DE ROUERGUE;public;67.4;
2018-2019;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132343B;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LOUIS ARAGON;13071;LES PENNES MIRABEAU;public;70.3;
2018-2019;CAEN;014;CALVADOS;0141420T;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE YVONNE GUEGAN;14327;HEROUVILLE SAINT CLAIR;public;73.1;
2018-2019;CLERMONT-FERRAND;015;CANTAL;0150613K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ALBERT MONIER;15014;AURILLAC;public;74.9;
2018-2019;POITIERS;017;CHARENTE-MARITIME;0170392J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE THEODORE MONOD;17415;SAINTES;public;64.0;
2018-2019;BESANCON;025;DOUBS;0251371E;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ALAIN FOURNIER;25056;BESANCON;public;70.4;
2018-2019;BORDEAUX;033;GIRONDE;0332198K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LE CORBUSIER;33318;PESSAC;public;76.2;
2018-2019;MONTPELLIER;034;HERAULT;0340833W;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN JACQUES ROUSSEAU;34172;MONTPELLIER;public;67.5;
2018-2019;RENNES;035;ILLE-ET-VILAINE;0350747X;EREA MAGDA HOLLANDER LAFON;35238;RENNES;public;68.4;
2018-2019;GRENOBLE;038;ISERE;0382107J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE/LEA PIERRE RABHI;38111;CLAIX;public;81.1;
2018-2019;REIMS;051;MARNE;0511106A;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE BOURNEVILLE;51108;CHALONS EN CHAMPAGNE;public;65.5;
2018-2019;LILLE;062;PAS-DE-CALAIS;0622099V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE COTE D OPALE;62193;CALAIS;public;60.4;
2018-2019;ROUEN;076;SEINE MARITIME;0762081Z;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MAURICE GENEVOIX;76351;LE HAVRE;public;68.6;
2018-2019;CRETEIL;077;SEINE-ET-MARNE;0770342D;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DE CHAMIGNY GARCON;77078;CHAMIGNY;public;76.8;
2018-2019;CRETEIL;094;VAL-DE-MARNE;0940319L;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE NOGENT SUR MARNE;94052;NOGENT SUR MARNE;public;78.6;
2018-2019;VERSAILLES;095;VAL-D'OISE;0950983C;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LA TOUR DU MAIL;95582;SANNOIS;public;85.8;
2018-2019;CORSE;02A;CORSE-DU-SUD;6200636X;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE AJACCIO;2A004;AJACCIO;public;77.0;
2018-2019;AIX-MARSEILLE;004;ALPES-DE-HTE-PROVENCE;0040378P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE CASTEL BEVONS;04027;BEVONS;public;68.9;
2018-2019;TOULOUSE;009;ARIEGE;0090481Z;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE GUY VILLEROUX;09225;PAMIERS;public;69.3;
2018-2019;RENNES;022;COTES D'ARMOR;0221569L;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE BEAUREGARD;22339;TADEN;public;71.6;
2018-2019;GRENOBLE;026;DROME;0261034H;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;26198;MONTELIMAR;public;76.0;
2018-2019;RENNES;035;ILLE-ET-VILAINE;0350732F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN BART;35236;REDON;public;74.3;
2018-2019;BORDEAUX;047;LOT-ET-GARONNE;0470753N;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MARIE CLAUDE RICHE;47323;VILLENEUVE SUR LOT;public;66.8;
2018-2019;NANTES;049;MAINE-ET-LOIRE;0490925P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;49267;SAINT BARTHELEMY D ANJOU;public;74.0;
2018-2019;CAEN;050;MANCHE;0501232T;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;50502;SAINT LO;public;66.7;
2018-2019;REIMS;052;HAUTE-MARNE;0520709N;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE PRE AUX SAULES;52550;WASSY;public;64.7;
2018-2019;AMIENS;060;OISE;0600070A;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;60178;CREVECOEUR LE GRAND;public;65.3;
2018-2019;GRENOBLE;073;SAVOIE;0730811K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE AMELIE GEX;73065;CHAMBERY;public;78.0;
2018-2019;POITIERS;086;VIENNE;0860793V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ANNE FRANK;86157;MIGNALOUX BEAUVOIR;public;67.4;
2018-2019;NANCY-METZ;088;VOSGES;0881119N;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOIS GEORGIN;88160;EPINAL;public;61.6;
2018-2019;VERSAILLES;091;ESSONNE;0910429X;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LE CHATEAU DU LAC;91461;OLLAINVILLE;public;81.6;
2018-2019;CRETEIL;094;VAL-DE-MARNE;0940171A;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE STENDHAL;94011;BONNEUIL SUR MARNE;public;79.0;
2018-2019;RENNES;029;FINISTERE;0290347V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LOUISE MICHEL;29232;QUIMPER;public;70.3;
2018-2019;BORDEAUX;033;GIRONDE;0331739L;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DE LA PLAINE;33162;EYSINES;public;92.7;
2018-2019;NANTES;044;LOIRE-ATLANTIQUE;0440329U;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LA RIVIERE;44109;NANTES;public;71.6;
2018-2019;NANCY-METZ;054;MEURTHE-ET-MOSELLE;0541338L;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE HUBERT MARTIN;54099;VAL DE BRIEY;public;67.6;
2018-2019;RENNES;056;MORBIHAN;0560217G;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LES PINS;56162;PLOEMEUR;public;66.3;
2018-2019;LILLE;059;NORD;0594380R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DEFICIENTS INTELLECTUELS LEGERS HANDICAPES SOCIAUX COLETTE MAGNY;59367;LYS LEZ LANNOY;public;60.2;
2018-2019;LILLE;062;PAS-DE-CALAIS;0620229M;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ANTOINE DE SAINT EXUPERY;62108;BERCK;public;89.6;
2018-2019;STRASBOURG;067;BAS-RHIN;0671455T;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE HENRI EBEL;67218;ILLKIRCH GRAFFENSTADEN;public;68.5;
2018-2019;DIJON;071;SAONE-ET-LOIRE;0711050F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE CLAUDE BROSSE;71105;CHARNAY LES MACON;public;70.9;
2018-2019;PARIS;075;PARIS;0750828T;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE EDITH PIAF;75120;PARIS 20E ARRONDISSEMENT;public;69.6;
2018-2019;PARIS;075;PARIS;0753256G;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ALEXANDRE DUMAS;75115;PARIS 15E ARRONDISSEMENT;public;76.2;
2018-2019;ROUEN;076;SEINE MARITIME;0762211R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOISE DOLTO;76681;SOTTEVILLE LES ROUEN;public;69.5;
2018-2019;AIX-MARSEILLE;084;VAUCLUSE;0840096Y;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE PAUL VINCENSINI;84141;VEDENE;public;71.9;
2018-2019;VERSAILLES;092;HAUTS-DE-SEINE;0920429S;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE EREA;92004;ASNIERES SUR SEINE;public;80.7;
2018-2019;VERSAILLES;095;VAL-D'OISE;0950164M;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOISE DOLTO;95052;BEAUMONT SUR OISE;public;80.7;
