Rentrée scolaire;Académie;Code du département;Département;UAI;Nom de l'établissment;Code INSEE de la commune;Nom de la commune;Secteur;IPS;Ecart-type de l'IPS
2021-2022;LYON;042;LOIRE;0421608V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE NELSON MANDELA;42302;SORBIERS;public;69.9;21.7
2021-2022;CLERMONT-FERRAND;043;HAUTE-LOIRE;0430109K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ALEXANDRE VIALATTE;43040;BRIOUDE;public;65.8;22.6
2021-2022;BORDEAUX;047;LOT-ET-GARONNE;0470753N;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MARIE CLAUDE RICHE;47323;VILLENEUVE SUR LOT;public;69.0;21.2
2021-2022;LILLE;059;NORD;0595483P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE NELSON MANDELA;59350;LILLE;public;64.0;18.5
2021-2022;CLERMONT-FERRAND;063;PUY-DE-DOME;0630665F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DE LATTRE DE TASSIGNY;63307;ROMAGNAT;public;71.7;25.3
2021-2022;NANTES;072;SARTHE;0720920J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE RAPHAEL ELIZE;72058;CHANGE;public;66.0;18.1
2021-2022;GRENOBLE;073;SAVOIE;0731045P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LEA LE MIRANTIN;73011;ALBERTVILLE;public;73.0;18.3
2021-2022;AIX-MARSEILLE;084;VAUCLUSE;0840096Y;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE PAUL VINCENSINI;84141;VEDENE;public;76.5;24.4
2021-2022;NANCY-METZ;088;VOSGES;0881119N;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOIS GEORGIN;88160;EPINAL;public;63.6;16.3
2021-2022;DIJON;089;YONNE;0891016W;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JULES VERNE;89206;JOIGNY;public;74.2;20.8
2021-2022;VERSAILLES;092;HAUTS-DE-SEINE;0921935D;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE TOULOUSE LAUTREC;92076;VAUCRESSON;public;119.5;37.9
2021-2022;CRETEIL;094;VAL-DE-MARNE;0940319L;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOIS CAVANNA;94052;NOGENT SUR MARNE;public;85.2;34.7
2021-2022;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132343B;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LOUIS ARAGON;13071;LES PENNES MIRABEAU;public;74.1;27.8
2021-2022;CLERMONT-FERRAND;015;CANTAL;0150613K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ALBERT MONIER;15014;AURILLAC;public;70.4;26.0
2021-2022;GRENOBLE;026;DROME;0261034H;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;26198;MONTELIMAR;public;72.9;24.7
2021-2022;BORDEAUX;033;GIRONDE;0331739L;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DE LA PLAINE;33162;EYSINES;public;92.3;35.5
2021-2022;BORDEAUX;033;GIRONDE;0332198K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LE CORBUSIER;33318;PESSAC;public;81.4;27.8
2021-2022;ORLEANS-TOURS;036;INDRE;0360050J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ERIC TABARLY;36044;CHATEAUROUX;public;67.3;24.0
2021-2022;NORMANDIE;050;MANCHE;0501232T;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ROBERT DOISNEAU;50502;SAINT LO;public;69.3;20.1
2021-2022;REIMS;052;HAUTE-MARNE;0520709N;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE PRE AUX SAULES;52550;WASSY;public;66.3;18.2
2021-2022;NANCY-METZ;054;MEURTHE-ET-MOSELLE;0541338L;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE HUBERT MARTIN;54099;VAL DE BRIEY;public;70.3;23.4
2021-2022;AMIENS;060;OISE;0600070A;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JOSEPHINE BAKER A CREVECOEUR LE GRAND;60178;CREVECOEUR LE GRAND;public;67.3;15.9
2021-2022;VERSAILLES;091;ESSONNE;0910429X;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LE CHATEAU DU LAC;91461;OLLAINVILLE;public;78.9;25.3
