Rentrée scolaire;Code région;Région;Code académie;Académie;Code du département;Département;Code INSEE de la commune;Nom de la commune;UAI;Nom de l'établissement;Secteur;IPS;Ecart type de l'IPS;IPS national privé;IPS national public;IPS national;IPS académique privé;IPS académique public;IPS académique;IPS départemental privé;IPS départemental public;IPS départemental;num_ligne
2024-2025;03;BRETAGNE;14;RENNES;35;ILLE-ET-VILAINE;35238;RENNES;0350747X;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MAGDA HOLLANDER LAFON;public;69.3;16.4;63.3;82.3;82.2;NA;75.3;75.3;NA;74;74;179.0
2024-2025;15;NOUVELLE-AQUITAINE;04;BORDEAUX;40;LANDES;40281;SAINT PIERRE DU MONT;0400094K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE NICOLAS BREMONTIER;public;81.4;24.6;63.3;82.3;82.2;NA;83.4;83.4;NA;81.4;81.4;183.0
2024-2025;01;AUVERGNE-RHONE-ALPES;06;CLERMONT-FERRAND;43;HAUTE-LOIRE;43040;BRIOUDE;0430109K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ALEXANDRE VIALATTE;public;77.3;20.5;63.3;82.3;82.2;NA;78.7;78.7;NA;77.3;77.3;185.0
2024-2025;15;NOUVELLE-AQUITAINE;04;BORDEAUX;47;LOT-ET-GARONNE;47323;VILLENEUVE SUR LOT;0470753N;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MARIE CLAUDE RICHE;public;80.3;21;63.3;82.3;82.2;NA;83.4;83.4;NA;80.3;80.3;188.0
2024-2025;06;GRAND EST;19;REIMS;52;HAUTE-MARNE;52550;WASSY;0520709N;LYCEE D ENSEIGNEMENT ADAPTE;public;71.7;19.2;63.3;82.3;82.2;NA;76.7;76.7;NA;71.7;71.7;192.0
2024-2025;06;GRAND EST;12;NANCY-METZ;54;MEURTHE-ET-MOSELLE;54196;FLAVIGNY SUR MOSELLE;0541268K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOIS RICHARD JOUBERT;public;94.1;29.4;63.3;82.3;82.2;NA;83.9;83.9;NA;88.1;88.1;193.0
2024-2025;01;AUVERGNE-RHONE-ALPES;06;CLERMONT-FERRAND;63;PUY-DE-DOME;63307;ROMAGNAT;0630665F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DE LATTRE DE TASSIGNY;public;83.8;26.1;63.3;82.3;82.2;NA;78.7;78.7;NA;83.8;83.8;204.0
2024-2025;16;OCCITANIE;11;MONTPELLIER;66;PYRENEES-ORIENTALES;66136;PERPIGNAN;0660078B;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JOAN MIRO;public;82;24.8;63.3;82.3;82.2;NA;80.3;80.3;NA;82;82;205.0
2024-2025;17;PAYS DE LA LOIRE;17;NANTES;72;SARTHE;72058;CHANGE;0720920J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE RAPHAEL ELIZE;public;79.1;27.9;63.3;82.3;82.2;NA;78.2;78.2;NA;79.1;79.1;209.0
2024-2025;15;NOUVELLE-AQUITAINE;13;POITIERS;86;VIENNE;86157;MIGNALOUX BEAUVOIR;0860793V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ANNE FRANK;public;79.1;23.6;63.3;82.3;82.2;NA;76.3;76.3;NA;79.1;79.1;220.0
