Rentrée scolaire;Code région;Région;Code académie;Académie;Code du département;Département;Code INSEE de la commune;Nom de la commune;UAI;Nom de l'établissement;Secteur;IPS;Ecart type de l'IPS;IPS national privé;IPS national public;IPS national;IPS académique privé;IPS académique public;IPS académique;IPS départemental privé;IPS départemental public;IPS départemental;num_ligne
2023-2024;16;OCCITANIE;16;TOULOUSE;09;ARIEGE;09225;PAMIERS;0090481Z;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE GUY VILLEROUX;public;79.4;20.5;66.4;81.8;81.8;NA;82.4;82.4;NA;79.4;79.4;82.0
2023-2024;15;NOUVELLE-AQUITAINE;04;BORDEAUX;24;DORDOGNE;24557;TRELISSAC;0240112S;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JOEL JEANNOT;public;78.4;25.4;66.4;81.8;81.8;NA;81.8;81.8;NA;78.4;78.4;91.0
2023-2024;15;NOUVELLE-AQUITAINE;04;BORDEAUX;33;GIRONDE;33162;EYSINES;0331739L;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DE LA PLAINE;public;88.3;30.3;66.4;81.8;81.8;NA;81.8;81.8;NA;86.4;86.4;97.0
2023-2024;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59367;LYS LEZ LANNOY;0594380R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DEFICIENTS INTELLECTUELS LEGERS HANDICAPES SOCIAUX COLETTE MAGNY;public;70.7;17.3;66.4;81.8;81.8;NA;77.9;77.9;NA;78.5;78.5;118.0
2023-2024;10;ILE-DE-FRANCE;01;PARIS;75;PARIS;75114;PARIS 14E ARRONDISSEMENT;0752799K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE CROCE SPINELLI;public;77.9;21.4;66.4;81.8;81.8;NA;83.1;83.1;NA;83.1;83.1;135.0
2023-2024;10;ILE-DE-FRANCE;01;PARIS;75;PARIS;75115;PARIS 15E ARRONDISSEMENT;0753256G;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ALEXANDRE DUMAS;public;84.8;23.4;66.4;81.8;81.8;NA;83.1;83.1;NA;83.1;83.1;136.0
2023-2024;10;ILE-DE-FRANCE;24;CRETEIL;77;SEINE-ET-MARNE;77078;CHAMIGNY;0770342D;LYCEE D ENSEIGNEMENT ADAPTE DE CHAMIGNY GARCON;public;86.4;22.4;66.4;81.8;81.8;NA;86.2;86.2;NA;86.4;86.4;139.0
2023-2024;06;GRAND EST;12;NANCY-METZ;88;VOSGES;88160;EPINAL;0881119N;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOIS GEORGIN;public;69.3;16.4;66.4;81.8;81.8;NA;82.3;82.3;NA;69.3;69.3;143.0
2023-2024;10;ILE-DE-FRANCE;25;VERSAILLES;91;ESSONNE;91421;MONTGERON;0911353B;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN ISOARD;public;91;26.8;66.4;81.8;81.8;NA;105;105;NA;89.9;89.9;146.0
2023-2024;10;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92004;ASNIERES SUR SEINE;0920429S;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MARTIN LUTHER KING;public;86.5;27.2;66.4;81.8;81.8;NA;105;105;NA;115.2;115.2;147.0
